Request Type,Requests,Information Produced
Court Orders,17,16
Pen Register / Trap and Trace,0,0
Search Warrants,405,386
Subpoenas,472,394
,,
Total:,894,796
,,
,,
Request Type,Requests,Complied
Preservation Requests,552,500
