Category,Proactive,Reactive,Total,% Proactive
CSAM,669,602,1271,52.64%
SCRM,"15,032","7,467",22499,66.81%
Nonconsensual Pornography,447,610,1057,42.29%
Cybercrime,"1,996","1,887",3883,51.40%
Violent Extremism,384,564,948,40.51%
,,,,
SUM:,"18,528","11,130","29,658",62.47%
